state,year,gisd_score
Baden-Württemberg,2019,0.4229781818181818
Baden-Württemberg,2020,0.4224827272727273
Baden-Württemberg,2021,0.4174668181818182
Bayern,2019,0.41199500000000006
Bayern,2020,0.41040145833333336
Bayern,2021,0.3936145833333333
Berlin,2019,0.60385
Berlin,2020,0.57729
Berlin,2021,0.5354
Brandenburg,2019,0.6814944444444444
Brandenburg,2020,0.6498894444444444
Brandenburg,2021,0.6309866666666667
Bremen,2019,0.79317
Bremen,2020,0.8143
Bremen,2021,0.788285
Hamburg,2019,0.33844
Hamburg,2020,0.36056
Hamburg,2021,0.32646
Hessen,2019,0.4658765384615385
Hessen,2020,0.46427
Hessen,2021,0.4533142307692308
Mecklenburg-Vorpommern,2019,0.7398875
Mecklenburg-Vorpommern,2020,0.7178675
Mecklenburg-Vorpommern,2021,0.70227375
Niedersachsen,2019,0.6058388888888889
Niedersachsen,2020,0.6232586666666666
Niedersachsen,2021,0.5744886666666666
Nordrhein-Westfalen,2019,0.6115347169811322
Nordrhein-Westfalen,2020,0.6104145283018868
Nordrhein-Westfalen,2021,0.583878679245283
Rheinland-Pfalz,2019,0.6147938888888889
Rheinland-Pfalz,2020,0.6089777777777778
Rheinland-Pfalz,2021,0.5870186111111111
Saarland,2019,0.6426733333333333
Saarland,2020,0.6419966666666667
Saarland,2021,0.6102316666666666
Sachsen,2019,0.6404676923076923
Sachsen,2020,0.6323284615384615
Sachsen,2021,0.6205792307692307
Sachsen-Anhalt,2019,0.7806014285714286
Sachsen-Anhalt,2020,0.7606228571428572
Sachsen-Anhalt,2021,0.729025
Schleswig-Holstein,2019,0.644454
Schleswig-Holstein,2020,0.6357473333333333
Schleswig-Holstein,2021,0.5988966666666666
Thüringen,2019,0.6763018181818182
Thüringen,2020,0.6628454545454545
Thüringen,2021,0.651195
