Abbreviation,Antibiotic Name,Antibiotic Name German,Full Name,Class,Mechanism_of_action,Source,Source_URL,WHO_Match,Match_Type,WHO_Class,WHO_ATC_code,Category,Listed_on_EML_2019,Broad Class
AMC,Amoxicillin/clavulanic acid,AMC - Amoxicillin/Clavulansäure,AMC - Amoxicillin/clavulanic acid,β-lactam/β-lactamase inhibitor,Inhibits cell wall synthesis & β-lactamase inhibition,EUCAST Guidelines,https://www.eucast.org/guidelines-documents/,Amoxicillin/clavulanic Acid,PERFECT,Beta-lactam/beta-lactamase-inhibitor,J01CR02,Access,Yes,β-lactam
AMK,Amikacin,AMK - Amikacin,AMK - Amikacin,Aminoglycoside,Binds to 30S ribosomal subunit,Goodman & Gilman's Pharmacology,https://accessmedicine.mhmedical.com/book.aspx?bookid=2189,Amikacin,PERFECT,Aminoglycosides,J01GB06,Access,Yes,Aminoglycoside
AMP,Ampicillin,AMP - Ampicillin,AMP - Ampicillin,Penicillin (β-lactam),Inhibits penicillin-binding proteins (cell wall synthesis),CLSI Standards,https://clsi.org/standards/products/microbiology/documents/m100/,Ampicillin,PERFECT,Penicillins,J01CA01 ,Access,Yes,β-lactam
AMS,Ampicillin/Sulbactam,AMS - Ampicillin/Sulbactam,AMS - Ampicillin/Sulbactam,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,Antibiotic Resistance Textbook,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Ampicillin/sulbactam,PERFECT,Beta-lactam/beta-lactamase-inhibitor,J01CR01,Access,No,β-lactam
AMX,Amoxicillin,AMX - Amoxicillin,AMX - Amoxicillin,Penicillin (β-lactam),Cell wall synthesis inhibition,DrugBank,https://go.drugbank.com/drugs/DB01060,Amoxicillin,PERFECT,Penicillins,J01CA04,Access,Yes,β-lactam
AZT,Aztreonam,AZT - Aztreonam,AZT - Aztreonam,Monobactam (β-lactam),Targets PBP3 (cell wall synthesis),Merck Manual,https://www.merckmanuals.com/professional/infectious-diseases/bacteria-and-antibacterial-drugs/aztreonam,Aztreonam,PERFECT,Monobactams,J01DF01,Reserve,No,β-lactam
CAZ,Ceftazidim,CAZ - Ceftazidim,CAZ - Ceftazidim,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,IDSA Guidelines,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Ceftazidime,PERFECT,Third-generation-cephalosporins,J01DD02,Watch,Yes,β-lactam
CEP,Cefepim,CEP - Cefepim,CEP - Cefepim,Fourth-gen cephalosporin (β-lactam),Broad-spectrum cell wall synthesis inhibitor,Antimicrobial Agents Journal,https://aac.asm.org/content/63/4/e02087-18,Cefepime,FUZZY(0.93),Fourth-generation-cephalosporins,J01DE01,Watch,No,β-lactam
CEZ,Cefazolin,CEZ - Cefazolin,CEZ - Cefazolin,First-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Clinical Pharmacy References,https://www.ncbi.nlm.nih.gov/books/NBK551507/,Cefazolin,PERFECT,First-generation-cephalosporins,J01DB04,Access,Yes,β-lactam
CIP,Ciprofloxacin,CIP - Ciprofloxacin,CIP - Ciprofloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,WHO AWaRe Classification,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/aware-classification,Ciprofloxacin,PERFECT,Fluoroquinolones,J01MA02,Watch,Yes,Fluoroquinolone
CLI,Clindamycin,CLI - Clindamycin,CLI - Clindamycin,Lincosamide,Binds to 50S ribosomal subunit (protein synthesis),CDC Stewardship,https://www.cdc.gov/antibiotic-use/core-elements/index.html,Clindamycin,PERFECT,Lincosamides,J01FF01,Access,Yes,Lincosamide
CMP,Chloramphenicol,CMP - Chloramphenicol,CMP - Chloramphenicol,Amphenicol,Inhibits 50S ribosomal peptidyl transferase,Historical Pharmacology Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Chloramphenicol,PERFECT,Amphenicols,J01BA01,Access,Yes,Amphenicol
COL,Colistin,COL - Colistin,COL - Colistin,Polymyxin,Disrupts bacterial outer membrane,ESCMID Guidelines,https://www.escmid.org/research_projects/guidelines/,Colistin_oral,PERFECT,Polymyxins,A07AA10,Reserve,No,Polymyxin
CRO,Ceftriaxon,CRO - Ceftriaxon,CRO - Ceftriaxon,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,EUCAST Technical Notes,https://www.eucast.org/fileadmin/src/media/PDFs/EUCAST_files/Guidance_documents/Expert_Rules_Technical_Notes_2020.pdf,Ceftriaxone,PERFECT,Third-generation-cephalosporins,J01DD04,Watch,Yes,β-lactam
CTM,Cefotiam,CTM - Cefotiam,CTM - Cefotiam,Second-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Hospital Formulary Data,https://www.ashp.org/-/media/assets/pharmacy-practice/resource-centers/guidelines/sample-adult-empiric-antimicrobial-guide.ashx,Cefotiam,PERFECT,Second-generation-cephalosporins,J01DC07,Watch,No,β-lactam
CTX,Cefotaxim,CTX - Cefotaxim,CTX - Cefotaxim,Third-gen cephalosporin (β-lactam),Inhibits cell wall synthesis,Pharmaceutical Directories,https://go.drugbank.com/drugs/DB00493,Cefotaxime,PERFECT,Third-generation-cephalosporins,J01DD01,Watch,Yes,β-lactam
CXM,Cefuroxim,CXM - Cefuroxim,CXM - Cefuroxim,Second-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Microbiology Textbooks,https://www.ncbi.nlm.nih.gov/books/NBK545311/,Cefuroxime,PERFECT,Second-generation-cephalosporins,J01DC02,Watch,Yes,β-lactam
DOX,Doxycyclin,DOX - Doxycyclin,DOX - Doxycyclin,Tetracycline,Binds to 30S ribosomal subunit,Antibiotic Classification Guides,https://www.ncbi.nlm.nih.gov/books/NBK549905/,Doxycycline,FUZZY(0.95),Tetracyclines,J01AA02,Access,Yes,Tetracycline
DPT,Daptomycin,DPT - Daptomycin,DPT - Daptomycin,Lipopeptide,Depolarizes cell membrane potential,IDSA Recommendations,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Daptomycin,PERFECT,Lipopeptides,J01XX09,Reserve,No,Lipopeptide
ERT,Ertapenem,ERT - Ertapenem,ERT - Ertapenem,Carbapenem (β-lactam),Cell wall synthesis inhibition,CLSI Standards,https://clsi.org/standards/products/microbiology/documents/m100/,Ertapenem,PERFECT,Carbapenems,J01DH03,Watch,No,β-lactam
ERY,Erythromycin,ERY - Erythromycin,ERY - Erythromycin,Macrolide,Binds to 50S ribosomal subunit,Basic Pharmacology References,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Erythromycin,PERFECT,Macrolides,J01FA01,Watch,Yes (therapeutic alternative to clarithromycin (EMLc)),Macrolide
FLU,Flucloxacillin,FLU - Flucloxacillin,FLU - Flucloxacillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Antimicrobial Therapy Textbooks,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Flucloxacillin,PERFECT,Penicillins ,J01CF05,Access,Yes (therapeutic alternative to cloxacillin),β-lactam
FOS,Fosfomycin,FOS - Fosfomycin,FOS - Fosfomycin,Phosphonic acid derivative,Inhibits cell wall precursor synthesis,ESCMID Guidelines,https://www.escmid.org/research_projects/guidelines/,Fosfomycin_oral,PERFECT,Phosphonics,J01XX01,Watch ,No,Phosphonic acid derivative
FUS,Fusidic acid,FUS - Fusidinsäure,FUS - Fusidic acid,Steroid antibiotic,Inhibits elongation factor G (protein synthesis),Clinical Microbiology Reviews,https://www.ncbi.nlm.nih.gov/books/NBK557777/,Fusidic Acid,PERFECT,Steroid antibacterials,J01XC01,Watch,No,Steroid antibiotic
GEN,Gentamicin,GEN - Gentamicin,GEN - Gentamicin,Aminoglycoside,Binds to 30S ribosomal subunit,Goodman & Gilman's Pharmacology,https://accessmedicine.mhmedical.com/content.aspx?sectionid=250546902,Gentamicin,PERFECT,Aminoglycosides,J01GB03,Access,Yes,Aminoglycoside
