;;Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.)
;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2019;Schleswig-Holstein;76706;78346;101670;131460;83728;60819;158042;161920;167868;168221;165485;186988;254271;241130;194566;312578;359975;2903773;39321;40000;52145;67588;43069;31410;83036;84556;86114;83069;81270;92243;125954;119131;94561;148269;151147;1422883;37385;38346;49525;63872;40659;29409;75006;77364;81754;85152;84215;94745;128317;121999;100005;164309;208828;1480890
31.12.2019;Hamburg;60938;57337;66823;79536;46252;34140;112172;146039;155763;141809;124554;120743;140413;126531;97844;152595;183764;1847253;31320;29210;34263;41320;23871;17570;56611;72003;77659;70460;62432;60794;71220;63108;47548;70373;74212;903974;29618;28127;32560;38216;22381;16570;55561;74036;78104;71349;62122;59949;69193;63423;50296;82222;109552;943279
31.12.2019;Niedersachsen;224293;224695;282816;365405;234833;171397;460391;475653;483763;467542;450350;513387;670929;655323;543772;838086;930973;7993608;114820;115491;145245;188264;120705;89184;242753;250345;249786;234782;224499;254802;336501;326741;268009;401921;383723;3947571;109473;109204;137571;177141;114128;82213;217638;225308;233977;232760;225851;258585;334428;328582;275763;436165;547250;4046037
31.12.2019;Bremen;20737;19639;23255;29612;17727;14180;45010;49087;48848;43999;39805;41595;51743;49771;42241;67224;76729;681202;10775;10186;11965;15386;9142;7448;23688;25681;25278;22574;20292;21108;26440;24749;20348;31164;30777;337001;9962;9453;11290;14226;8585;6732;21322;23406;23570;21425;19513;20487;25303;25022;21893;36060;45952;344201
31.12.2019;Nordrhein-Westfalen;519351;514771;640840;817819;515339;374031;1047132;1140668;1145247;1099008;1036794;1142082;1483368;1451252;1219408;1794073;2006038;17947221;267022;264429;330059;421708;266215;194769;546967;589408;583409;550037;512735;565762;742798;723418;597598;840964;808676;8805974;252329;250342;310781;396111;249124;179262;500165;551260;561838;548971;524059;576320;740570;727834;621810;953109;1197362;9141247
31.12.2019;Hessen;182875;181351;227325;286632;176166;127037;366420;399739;412688;402332;383953;412545;514466;497867;409576;628180;678928;6288080;93977;92943;116615;147295;91038;66122;192278;206474;211610;201164;190153;205496;259219;249566;201745;297165;282400;3105260;88898;88408;110710;139337;85128;60915;174142;193265;201078;201168;193800;207049;255247;248301;207831;331015;396528;3182820
31.12.2019;Rheinland-Pfalz;114890;114758;142526;179464;113076;83280;229208;248453;253461;246243;231141;255172;337081;348575;296266;438306;462003;4093903;59028;58849;73254;92697;58423;43149;119819;129843;130832;124312;115354;126447;168949;174135;146646;211207;190060;2023004;55862;55909;69272;86767;54653;40131;109389;118610;122629;121931;115787;128725;168132;174440;149620;227099;271943;2070899
31.12.2019;Baden-W�rttemberg;328592;320453;399112;510371;320254;234516;671697;731217;745124;712798;659511;715681;889679;876981;724704;1063337;1196367;11100394;168376;164273;205179;261406;165654;121893;354709;384128;387984;363263;331858;358773;449978;441466;358293;503122;496085;5516440;160216;156180;193933;248965;154600;112623;316988;347089;357140;349535;327653;356908;439701;435515;366411;560215;700282;5583954
31.12.2019;Bayern;386391;374117;463107;576129;361618;263367;766899;858086;884235;856571;802492;860242;1071680;1045320;859379;1290506;1404598;13124737;197631;192022;237601;295977;185122;137173;404278;447020;457574;434616;403325;431223;542887;523937;425098;611370;580837;6507691;188760;182095;225506;280152;176496;126194;362621;411066;426661;421955;399167;429019;528793;521383;434281;679136;823761;6617046
