,,,,,silhouette,silhouette,ics_score,ics_score,n_clusters,n_clusters,stability,hierarchical_score,hierarchical_score,external_ARI_broad,external_ARI_broad,external_NMI_broad,external_NMI_broad,external_ARI_fine,external_ARI_fine,external_NMI_fine,external_NMI_fine,external_ARI_who,external_ARI_who,external_NMI_who,external_NMI_who
,,,,,mean,std,mean,std,mean,std,mean,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
genus,material,metric,tau,gamma,,,,,,,,,,,,,,,,,,,,,
Escherichia,Blood Culture,cosine,0.1,0.5,0.15352298353748264,0.07522175536503153,2.2724988566707878,0.1890413534584812,10.5,1.8408935028645432,0.6607221303668106,0.394269929448965,0.02154235206708244,0.24889659797586497,0.03146302496413354,0.4795700502608087,0.028334860798361547,0.04762754857080349,0.01319809573944145,0.4905292687477735,0.030105332763146454,0.06907008774322389,0.046376684917064315,0.18062402290537674,0.026140397223753553
Escherichia,Blood Culture,cosine,0.1,0.75,0.17191997415292054,0.0904127143247096,2.517383141216622,0.29603091982604807,11.3,3.653004851412662,0.6820856496207978,0.40631116363884967,0.042466093536859734,0.24242758146934892,0.044788783461024266,0.4780443657640969,0.04321819627502188,0.05890570401190136,0.011316471154527025,0.516528476713421,0.057116399727749095,0.09487907629333106,0.023161321502460714,0.18762154408084078,0.031935614705382365
Escherichia,Blood Culture,cosine,0.1,1.0,0.2596888711958739,0.01459070457618757,2.2811039537589486,0.12762836002236488,5.8,0.42163702135578407,0.8767432545313667,0.31921409478492924,0.015805022646706607,0.12533007492847262,0.03229094212472272,0.3522052443439579,0.02028927190734697,0.07637046743258058,0.010383836114204202,0.44202489436603204,0.02545979212033584,0.08050314422608926,0.023577466849424356,0.12247521245109674,0.025440301589552246
Escherichia,Blood Culture,cosine,0.2,0.5,0.2303386917635304,0.059436254564898316,2.662779721289067,0.17208433645821625,12.2,1.7511900715418263,0.7249590997095761,0.4181603987625057,0.024159900523568346,0.23264957432149633,0.03263637208462124,0.49851457544998984,0.02964672918860758,0.04741232542070196,0.010601601508438375,0.5321126239044809,0.028131344646829762,0.06581484851752024,0.027372090084940147,0.1858699218857215,0.023780286048574868
Escherichia,Blood Culture,cosine,0.2,0.75,0.2553365529843345,0.02650170841114297,2.628926544562112,0.3351815653135258,10.3,3.8887301554906357,0.7728311917165729,0.3799857003643446,0.0577295460098692,0.21158613220702027,0.03659796246526832,0.45167809454920577,0.05657381913842202,0.0454129555446529,0.00960925484809194,0.49139535877450485,0.0715019378841757,0.06767376829514829,0.015311450347674015,0.15974709496593636,0.04384435792654302
Escherichia,Blood Culture,cosine,0.2,1.0,0.3033964832081265,0.0014886717867068707,2.6253138044796627,0.011825894838152613,7.0,0.0,0.968638988683024,0.31424555834666723,0.001811224304228771,0.09429388320102346,0.0020910623776257934,0.3531089177827159,0.0017031521042391844,0.04393098077397831,0.0006762104698150228,0.4418853975463589,0.001169960576489902,0.06528685387798895,0.0016153739638077585,0.10519574664436304,0.009300513886988222
Escherichia,Blood Culture,cosine,0.30000000000000004,0.5,0.27894727776066075,0.044067315703848225,2.827162579990369,0.2570177463569109,14.1,2.378141197564929,0.7961470357199991,0.4390940264525297,0.026313209597843057,0.19786833202747714,0.022856369311912275,0.5007245347531952,0.03496738793484479,0.06121474290659634,0.004649070301478361,0.5607810558702411,0.03616893526228091,0.07311970973481856,0.01666520997481315,0.2152141455949156,0.00829544020732375
Escherichia,Blood Culture,cosine,0.30000000000000004,0.75,0.3034730497827491,0.0,2.7418759903739027,0.0,12.0,0.0,1.0,0.4104824525363034,3.204937810639273e-17,0.16993115251110463,0.0,0.4673197468819853,5.851389114294502e-17,0.05197641218416862,0.0,0.5216764966064813,0.0,0.07197156579437558,0.0,0.20538643276371774,2.925694557147251e-17
