genus,material,metric,tau,gamma,silhouette_mean,silhouette_std,ics_score_mean,ics_score_std,n_clusters_mean,n_clusters_std,stability_mean,hierarchical_score_mean,hierarchical_score_std,external_ARI_broad_mean,external_ARI_broad_std,external_NMI_broad_mean,external_NMI_broad_std,external_ARI_fine_mean,external_ARI_fine_std,external_NMI_fine_mean,external_NMI_fine_std,external_ARI_who_mean,external_ARI_who_std,external_NMI_who_mean,external_NMI_who_std
Escherichia,Blood Culture,phi,0.4,0.5,0.22643740453232547,0.0,13.116421961568625,0.0,36.0,0.0,1.0,0.5585636312137898,0.0,-0.010619634982184663,0.0,0.5480903542022968,3.700743415417188e-17,0.03179046179716685,0.0,0.7526947011655146,1.0467283057891834e-16,0.009260549416392459,0.0,0.31019548162298327,2.6168207644729584e-17
Escherichia,Urine,phi,0.4,0.5,0.16150821195307113,0.012616977092480679,13.123192198580304,0.6671823280558126,38.7,0.48304589153964755,0.8612807223499328,0.5715766195764691,0.0018666665402848925,0.0036636749259880514,0.0011824882632637352,0.5757538459420324,0.00250310355798378,0.07054528164618647,0.011410985269289386,0.7789642786140017,0.0017935248612842294,-0.0005743239743352214,0.001798958269084913,0.2908825144941956,0.0032047417450677255
Klebsiella,Blood Culture,phi,0.4,0.5,0.19134757980075626,0.0008750243441564762,11.576043047595366,0.5881360374911878,36.4,0.5163977794943224,0.961243240866928,0.5465755474811659,0.004661347113999821,-0.02869074372834497,0.004544502661417874,0.5275530826124792,0.008044007376675077,0.02447676389717495,0.0035584088765041218,0.7478701736331075,0.005415988837100603,0.0014463815966457617,0.0013923629552733355,0.2972051774805971,0.0002724978871901454
Klebsiella,Urine,phi,0.4,0.75,0.12869813503019167,0.0,12.743672659952935,0.0,39.0,0.0,1.0,0.5808578633554484,5.233641528945917e-17,0.01518308839410929,0.0,0.5857198022881763,7.401486830834377e-17,0.09201851748563779,0.0,0.7833896987922417,1.3846913936850747e-16,0.005322059722952455,0.0,0.30595347717366284,2.6168207644729584e-17
Proteus,Blood Culture,phi,0.4,0.75,0.21774029413489493,0.0,11.96726817465628,0.0,34.0,0.0,1.0,0.531775906766914,3.700743415417188e-17,-0.02079318480629649,0.0,0.5207807238210646,5.233641528945917e-17,0.0236182567620423,0.0,0.7341808100700943,5.233641528945917e-17,-0.0006849681596832022,0.0,0.2728978853085232,3.204937810639273e-17
Proteus,Urine,phi,0.4,0.5,0.14215990952153545,0.0,12.622043581130296,0.0,39.0,0.0,1.0,0.5739932443848617,5.233641528945917e-17,0.00805217518035415,0.0,0.5739010917923288,3.700743415417188e-17,0.07130858667369322,0.0,0.7742516233187978,1.6550227688315153e-16,0.005684804410550139,0.0,0.3070742250654793,3.204937810639273e-17
Pseudomonas,Blood Culture,phi,0.4,0.5,0.23237214278105203,0.0040155518180700215,7.586915578790685,0.048639307832665644,24.2,0.632455532033676,0.9908075025411135,0.47014583151436107,0.006233517873506763,0.03359218097948956,0.0022522743843737068,0.49489181762935675,0.005951352480415543,0.009830301270052064,0.0018457392992119197,0.6522474170974972,0.006538553287147522,-0.010706251715927064,7.262678431110054e-05,0.202597731288517,0.0061089693817436815
Pseudomonas,Urine,phi,0.4,0.5,0.1524831572038342,0.013449241874033959,8.535263093023678,0.392612962892144,28.6,0.5163977794943221,0.8786089638117689,0.5095650674798419,0.00723562751193004,0.07293057705098319,0.015585319506560207,0.579335232015831,0.005415983443872144,0.010700682533837828,0.011064022483510946,0.6775505663038489,0.010353991565787422,-0.014756114347106362,0.0012648573539601612,0.21581423784517675,0.005983897079975116
Staphylococcus,Blood Culture,phi,0.4,0.5,0.10693130834463378,0.021526843624517504,5.145571870280293,0.38218032191938967,29.8,0.4216370213557839,0.8627247357872433,0.5632847950482008,0.007716439427555786,0.09311469578727907,0.011841757519356956,0.6136717597644482,0.011444059841328928,0.11448478357564187,0.018936835977338643,0.7398339893411124,0.01169725898674916,0.01501445911951101,0.002811020096732704,0.2774989046080711,0.0012375524025139567
Staphylococcus,Urine,phi,0.4,0.5,0.12022516041920013,0.0,6.747346377909028,0.0,30.0,0.0,1.0,0.5405550354818186,0.0,0.08068773591124435,0.0,0.5742153199003042,0.0,0.08235970544224205,0.0,0.7034326632643942,0.0,0.016800127273691467,0.0,0.2897245806865653,0.0
Streptococcus,Blood Culture,phi,0.4,0.75,0.12586014102982138,0.00048421061849039014,6.100670318574321,0.02614607379242593,32.0,0.0,0.9796931241630936,0.5665537570146726,0.0014751218376758968,0.11823563980753268,0.005072368357675907,0.6271908404885008,0.0012941152173231434,0.1064831409996492,0.008104585805017984,0.7469525640561471,0.003362120114480402,0.0003643134292620875,0.0012867771402970411,0.26538493081887854,0.000859869244377279
Streptococcus,Urine,phi,0.4,0.5,0.10234736522605722,0.00451689693624089,9.21440714350749,0.2790884157761841,31.7,0.4830458915396482,0.9409297760578689,0.5425870116256852,0.0011537920781494956,0.0395450305251049,0.00963210991872896,0.5687133064918332,0.0027439035090255793,0.033075562710129354,0.004980336264225018,0.718141159521633,0.003871416135840321,0.020061917258412894,0.004922879562125144,0.28238851956494,0.0006299526870031208
