genus,material,metric,tau,gamma,total_communities,cluster_id,cluster_size,antibiotic,label_broad,label_fine,label_who
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,AMC - Amoxicillin/clavulanic acid_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,1,3,AMK - Amikacin_Tested,Aminoglycoside,Aminoglycoside,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,AMP - Ampicillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,AMS - Ampicillin/Sulbactam_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,AMX - Amoxicillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,2,2,AZM - Azithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,9,9,AZT - Aztreonam_Tested,β-lactam,Monobactam (β-lactam),Reserve
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,CAZ - Ceftazidim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,4,2,CEC - Cefaclor_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,1,3,CEP - Cefepim_Tested,β-lactam,Fourth-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,5,1,CEX - Cefalexin_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,4,2,CEZ - Cefazolin_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,CFA - Cefuroxim-Axetil_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,CFI - Cefixim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,6,1,CFR - Cefadroxil_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,CIP - Ciprofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,7,8,CLI - Clindamycin_Tested,Lincosamide,Lincosamide,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,7,8,CLR - Clarithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,9,9,CMP - Chloramphenicol_Tested,Amphenicol,Amphenicol,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,9,9,COL - Colistin_Tested,Polymyxin,Polymyxin,Reserve
Escherichia,Blood Culture,cosine,0.4,1.0,17,10,1,COX - Cefoxitin_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,CPO - Cefpodoxim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,11,1,CPP - Cefpodoxim-Proxetil_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,CRO - Ceftriaxon_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,CTX - Cefotaxim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,CXM - Cefuroxim_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,9,9,CZA - Ceftazidim/Avibactam_Tested,,,
Escherichia,Blood Culture,cosine,0.4,1.0,17,9,9,DOX - Doxycyclin_Tested,Tetracycline,Tetracycline,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,12,1,DPT - Daptomycin_Tested,Lipopeptide,Lipopeptide,Reserve
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,ERT - Ertapenem_Tested,β-lactam,Carbapenem (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,7,8,ERY - Erythromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,13,1,FLU - Flucloxacillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,14,1,FUS - Fusidic acid_Tested,Steroid antibiotic,Steroid antibiotic,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,GEN - Gentamicin_Tested,Aminoglycoside,Aminoglycoside,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,IMP - Imipenem_Tested,β-lactam,Carbapenem (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,LEV - Levofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,15,1,LIZ - Linezolid_Tested,Oxazolidinone,Oxazolidinone,Reserve
Escherichia,Blood Culture,cosine,0.4,1.0,17,9,9,MCL - Mecillinam_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,MER - Meropenem_Tested,β-lactam,Carbapenem (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,MOX - Moxifloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,16,1,MTR - Metronidazol_Tested,,Nitroimidazole,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,8,2,MZL - Mezlocillin_Tested,β-lactam,Penicillin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,9,9,NFT - Nitrofurantoin_Tested,Nitrofuran,Nitrofuran,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,9,9,NOR - Norfloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,8,2,OFX - Ofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,7,8,OXA - Oxacillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,7,8,PEN - Penicillin_Tested,β-lactam,Penicillin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,PIP - Piperacillin_Tested,β-lactam,Penicillin (β-lactam),Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,PIT - Piperacillin/Tazobactam_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,7,8,RAM - Rifampicin_Tested,Rifamycin,Rifamycin,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,2,2,ROX - Roxithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,SXT - Co-Trimoxazol_Tested,,Sulfonamide/Trimethoprim combo,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,3,1,TET - Tetracyclin_Tested,Tetracycline,Tetracycline,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,0,22,TGC - Tigecyclin_Tested,Glycylcycline,Glycylcycline,Reserve
Escherichia,Blood Culture,cosine,0.4,1.0,17,1,3,TOB - Tobramycin_Tested,Aminoglycoside,Aminoglycoside,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,7,8,TPL - Teicoplanin_Tested,Glycopeptide,Glycopeptide,Watch
Escherichia,Blood Culture,cosine,0.4,1.0,17,9,9,TRP - Trimethoprim_Tested,Dihydrofolate reductase inhibitor,Dihydrofolate reductase inhibitor,Access
Escherichia,Blood Culture,cosine,0.4,1.0,17,7,8,VAN - Vancomycin_Tested,Glycopeptide,Glycopeptide,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,AMC - Amoxicillin/clavulanic acid_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,1,2,AMK - Amikacin_Tested,Aminoglycoside,Aminoglycoside,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,AMP - Ampicillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,AMS - Ampicillin/Sulbactam_Tested,β-lactam,β-lactam/β-lactamase inhibitor,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,AMX - Amoxicillin_Tested,β-lactam,Penicillin (β-lactam),Access
Escherichia,Blood Culture,dice,0.4,0.5,22,5,2,AZM - Azithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,6,6,AZT - Aztreonam_Tested,β-lactam,Monobactam (β-lactam),Reserve
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,CAZ - Ceftazidim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,8,2,CEC - Cefaclor_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,CEP - Cefepim_Tested,β-lactam,Fourth-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,10,1,CEX - Cefalexin_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,dice,0.4,0.5,22,8,2,CEZ - Cefazolin_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,dice,0.4,0.5,22,21,2,CFA - Cefuroxim-Axetil_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,3,1,CFI - Cefixim_Tested,β-lactam,Third-gen cephalosporin (β-lactam),Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,14,1,CFR - Cefadroxil_Tested,β-lactam,First-gen cephalosporin (β-lactam),Access
Escherichia,Blood Culture,dice,0.4,0.5,22,7,21,CIP - Ciprofloxacin_Tested,Fluoroquinolone,Fluoroquinolone,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,15,5,CLI - Clindamycin_Tested,Lincosamide,Lincosamide,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,17,2,CLR - Clarithromycin_Tested,Macrolide,Macrolide,Watch
Escherichia,Blood Culture,dice,0.4,0.5,22,19,2,CMP - Chloramphenicol_Tested,Amphenicol,Amphenicol,Access
Escherichia,Blood Culture,dice,0.4,0.5,22,19,2,COL - Colistin_Tested,Polymyxin,Polymyxin,Reserve
Escherichia,Blood Culture,dice,0.4,0.5,22,20,1,COX - Cefoxitin_Tested,β-lactam,Second-gen cephalosporin (β-lactam),Watch
