genus,material,metric,tau,gamma,n_nodes,n_edges_jaccard,n_edges_testable,n_edges_significant,retention_fraction,retention_percent,alpha_fdr,min_total,min_positive
Escherichia,Blood Culture,cosine,0.4,1.0,58,316,316,307,0.9715189873417721,97.15189873417721,0.05,20,3
Escherichia,Blood Culture,dice,0.4,0.5,58,235,235,230,0.9787234042553191,97.87234042553192,0.05,20,3
Escherichia,Blood Culture,jaccard,0.4,1.0,58,160,160,158,0.9875,98.75,0.05,20,3
Escherichia,Blood Culture,phi,0.4,0.5,58,48,48,48,1.0,100.0,0.05,20,3
Escherichia,Urine,cosine,0.4,0.75,58,306,306,306,1.0,100.0,0.05,20,3
Escherichia,Urine,dice,0.4,0.75,58,266,266,266,1.0,100.0,0.05,20,3
Escherichia,Urine,jaccard,0.4,0.75,58,192,192,192,1.0,100.0,0.05,20,3
Escherichia,Urine,phi,0.4,0.5,58,34,34,34,1.0,100.0,0.05,20,3
Klebsiella,Blood Culture,cosine,0.4,0.5,58,267,266,249,0.9360902255639098,93.60902255639097,0.05,20,3
Klebsiella,Blood Culture,dice,0.4,0.5,58,209,208,193,0.9278846153846154,92.78846153846155,0.05,20,3
Klebsiella,Blood Culture,jaccard,0.4,1.0,58,146,146,133,0.910958904109589,91.0958904109589,0.05,20,3
Klebsiella,Blood Culture,phi,0.4,0.5,58,47,46,46,1.0,100.0,0.05,20,3
Klebsiella,Urine,cosine,0.4,0.75,58,269,269,267,0.9925650557620818,99.25650557620817,0.05,20,3
Klebsiella,Urine,dice,0.4,0.75,58,239,239,237,0.9916317991631799,99.16317991631799,0.05,20,3
Klebsiella,Urine,jaccard,0.4,0.75,58,154,154,152,0.987012987012987,98.7012987012987,0.05,20,3
Klebsiella,Urine,phi,0.4,0.75,58,29,29,29,1.0,100.0,0.05,20,3
Proteus,Blood Culture,cosine,0.4,1.0,58,293,290,263,0.906896551724138,90.6896551724138,0.05,20,3
Proteus,Blood Culture,dice,0.4,0.5,58,222,219,197,0.8995433789954338,89.95433789954338,0.05,20,3
Proteus,Blood Culture,jaccard,0.4,1.0,58,143,142,127,0.8943661971830986,89.43661971830986,0.05,20,3
Proteus,Blood Culture,phi,0.4,0.75,58,56,53,53,1.0,100.0,0.05,20,3
Proteus,Urine,cosine,0.4,0.5,58,262,262,258,0.9847328244274809,98.47328244274809,0.05,20,3
Proteus,Urine,dice,0.4,0.75,58,229,229,225,0.982532751091703,98.2532751091703,0.05,20,3
Proteus,Urine,jaccard,0.4,0.75,58,155,155,152,0.9806451612903225,98.06451612903226,0.05,20,3
Proteus,Urine,phi,0.4,0.5,58,32,32,32,1.0,100.0,0.05,20,3
Pseudomonas,Blood Culture,cosine,0.4,0.5,58,254,252,225,0.8928571428571429,89.28571428571429,0.05,20,3
Pseudomonas,Blood Culture,dice,0.4,0.75,58,197,195,175,0.8974358974358975,89.74358974358975,0.05,20,3
Pseudomonas,Blood Culture,jaccard,0.4,1.0,58,100,99,95,0.9595959595959596,95.95959595959596,0.05,20,3
Pseudomonas,Blood Culture,phi,0.4,0.5,58,86,84,84,1.0,100.0,0.05,20,3
Pseudomonas,Urine,cosine,0.4,0.5,58,214,214,212,0.9906542056074766,99.06542056074767,0.05,20,3
Pseudomonas,Urine,dice,0.4,0.5,58,163,163,162,0.9938650306748467,99.38650306748467,0.05,20,3
Pseudomonas,Urine,jaccard,0.4,0.5,58,78,78,77,0.9871794871794872,98.71794871794873,0.05,20,3
Pseudomonas,Urine,phi,0.4,0.5,58,70,70,70,1.0,100.0,0.05,20,3
Staphylococcus,Blood Culture,cosine,0.4,0.75,58,598,598,588,0.9832775919732442,98.32775919732441,0.05,20,3
Staphylococcus,Blood Culture,dice,0.4,0.5,58,468,468,461,0.9850427350427351,98.50427350427351,0.05,20,3
Staphylococcus,Blood Culture,jaccard,0.4,1.0,58,315,315,309,0.9809523809523809,98.09523809523809,0.05,20,3
Staphylococcus,Blood Culture,phi,0.4,0.5,58,60,60,60,1.0,100.0,0.05,20,3
Staphylococcus,Urine,cosine,0.4,0.75,58,505,505,502,0.994059405940594,99.4059405940594,0.05,20,3
Staphylococcus,Urine,dice,0.4,0.75,58,419,419,416,0.9928400954653938,99.28400954653938,0.05,20,3
Staphylococcus,Urine,jaccard,0.4,0.75,58,256,256,254,0.9921875,99.21875,0.05,20,3
Staphylococcus,Urine,phi,0.4,0.5,58,61,61,61,1.0,100.0,0.05,20,3
Streptococcus,Blood Culture,cosine,0.4,0.75,58,414,414,396,0.9565217391304348,95.65217391304348,0.05,20,3
Streptococcus,Blood Culture,dice,0.4,0.75,58,333,333,318,0.954954954954955,95.4954954954955,0.05,20,3
Streptococcus,Blood Culture,jaccard,0.4,1.0,58,199,199,190,0.9547738693467337,95.47738693467338,0.05,20,3
Streptococcus,Blood Culture,phi,0.4,0.75,58,55,55,55,1.0,100.0,0.05,20,3
Streptococcus,Urine,cosine,0.4,0.5,58,286,286,284,0.993006993006993,99.3006993006993,0.05,20,3
Streptococcus,Urine,dice,0.4,0.5,58,239,239,237,0.9916317991631799,99.16317991631799,0.05,20,3
Streptococcus,Urine,jaccard,0.4,0.5,58,79,79,78,0.9873417721518988,98.73417721518987,0.05,20,3
Streptococcus,Urine,phi,0.4,0.5,58,46,46,46,1.0,100.0,0.05,20,3
